Country,Human Development Index (HDI) Value,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years) 2019,Gross national income (GNI) per capita(2017 PPP $),Inequality-adjusted life expectancy index  (Value)   2019,Inequality-adjusted income index (value) 2019,Gross domestic product (GDP per capita 2017 PPP$) 2019,GDP Annual Growth (Percentage),Employment to population ratio,Mandatory paid maternity leave,Share of seats held by women in parliament (percentage),Stock of immigrants (percentage of poplulation),Consumer price index (2010=100),Healthy life expectancy at birth (years),Total Population( in millions),Urban Population (in percentage),Population age 65 and older( in millions),Human Development Index (female value) 2019,Human Development Index (male value) 2019,Gender Development Index (value) 2019,Gender Inequality Index Rank ,GDP per capita Female,GDP per capita Male,Life expectancy at birth Female (in years),Life expectancy at birth Male (in years),Expected years of schooling female (in years),Expected years of schooling male (in years),Mean years of schooling (female years) 2019,Mean years of schooling (male years) 2019,Estimated Gross national income (GNI) per female capita (2017 PPP$)  2019,Estimated Gross national income (GNI) per male capita (2017 PPP$)  2019,Employment in agriculture (% of total) 2019,Employment in services (% of total) 2019,Exports and imports (% of GDP) 2019,Labour force female participation rate (% ages 15 and older) 2019,Labour force male participation rate (% ages 15 and older) 2019,Label
Norway,0.957,82.4,18.1,12.9,"66,494",0.931,0.858,"63,633",0.5,61.7,,41,16.1,120,70.8,5.4,82.6,0.9,0.949,0.959,0.99,6,"58,548","74,280",84.4,80.4,18.8,17.4,13,12.8,"58,548","74,280",2.1,78.7,72.1,60.4,67.2,1
Ireland,0.955,82.3,18.7,12.7,"68,371",0.926,0.838,"86,781",4,59,182,24,17.1,107,70.4,4.9,63.4,0.7,0.943,0.961,0.981,23,"55,540","81,401",83.9,80.7,18.8,18.6,12.9,12.4,"55,540","81,401",4.6,76.7,239.2,56,68.4,1
Switzerland,0.955,83.8,16.3,13.4,"69,394",0.947,0.841,"68,628",0.2,65.1,98,39,29.9,100,72,8.6,73.8,1.6,0.934,0.965,0.968,1,"57,840","81,137",85.6,81.9,16.2,16.4,12.7,13.6,"57,840","81,137",2.9,76.8,119.4,62.9,73.8,1
"Hong Kong, China (SAR)",0.949,84.9,16.9,12.3,"62,985",0.973,0.724,"59,893",-1.9,57.9,70,,39.6,135,,7.4,100,1.3,0.933,0.959,0.972,,"45,961","82,993",87.7,82,17.1,16.8,11.9,12.7,"45,961","82,993",0.2,88.2,352.8,54,67.5,1
Iceland,0.949,83,19.1,12.8,"54,682",0.946,0.841,"55,874",-0.5,72.9,90,38,15.5,129,72.3,0.3,93.9,0.1,0.933,0.963,0.969,9,"46,413","62,883",84.5,81.5,20.2,18,12.6,13,"46,413","62,883",3.9,79.6,85.9,70.8,79.2,1
Germany,0.947,81.3,17,14.2,"55,314",0.908,0.786,"53,815",0.3,59,98,32,15.7,113,69.7,83.5,77.4,18,0.933,0.96,0.972,20,"45,277","65,599",83.7,78.9,16.9,17,13.9,14.4,"45,277","65,599",1.2,71.7,88.1,55.3,66.6,1
Sweden,0.945,82.8,19.5,12.5,"54,508",0.938,0.828,"53,205",0.1,60.4,,47,20,111,71.4,10,87.7,2,0.936,0.953,0.983,3,"47,709","61,287",84.6,81,20.4,18.6,12.7,12.4,"47,709","61,287",1.6,80.4,90.5,61.4,67.8,1
Australia,0.944,83.4,22,12.7,"48,085",0.94,0.771,"49,756",0.4,62.1,,37,30,120,70.3,25.2,86.1,4,0.932,0.955,0.976,25,"39,287","56,954",85.4,81.5,22.4,21.5,12.8,12.7,"39,287","56,954",2.6,77.6,45.7,60.3,70.9,1
Netherlands,0.944,82.3,18.5,12.4,"57,707",0.928,0.843,"57,141",1.2,61.6,112,34,13.4,116,70.6,17.1,91.9,3.4,0.926,0.96,0.966,4,"46,815","68,685",84,80.6,18.8,18.2,12.2,12.7,"46,815","68,685",2,82,154.3,58.3,69.1,1
Denmark,0.94,80.9,18.9,12.6,"58,662",0.903,0.853,"57,184",1.9,59.2,126,39,12.5,110,69.9,5.8,88,1.2,0.931,0.948,0.983,2,"49,296","68,134",82.9,78.9,19.6,18.3,12.8,12.4,"49,296","68,134",2.2,79.3,105,58.2,66.3,1
